date_key,date_jour,annee,trimestre,mois,mois_nom,jour,semaine_iso,jour_semaine_num,jour_semaine_nom,est_weekend,annee_mois,annee_trimestre,debut_mois,debut_semaine
20221211,2022-12-11,2022,4,12,December,11,49,7,Sunday,true,2022-12,2022-T4,2022-12-01,2022-12-05
20221212,2022-12-12,2022,4,12,December,12,50,1,Monday,false,2022-12,2022-T4,2022-12-01,2022-12-12
20221213,2022-12-13,2022,4,12,December,13,50,2,Tuesday,false,2022-12,2022-T4,2022-12-01,2022-12-12
20221214,2022-12-14,2022,4,12,December,14,50,3,Wednesday,false,2022-12,2022-T4,2022-12-01,2022-12-12
20221215,2022-12-15,2022,4,12,December,15,50,4,Thursday,false,2022-12,2022-T4,2022-12-01,2022-12-12
20221216,2022-12-16,2022,4,12,December,16,50,5,Friday,false,2022-12,2022-T4,2022-12-01,2022-12-12
20221217,2022-12-17,2022,4,12,December,17,50,6,Saturday,true,2022-12,2022-T4,2022-12-01,2022-12-12
20221218,2022-12-18,2022,4,12,December,18,50,7,Sunday,true,2022-12,2022-T4,2022-12-01,2022-12-12
20221219,2022-12-19,2022,4,12,December,19,51,1,Monday,false,2022-12,2022-T4,2022-12-01,2022-12-19
20221220,2022-12-20,2022,4,12,December,20,51,2,Tuesday,false,2022-12,2022-T4,2022-12-01,2022-12-19
20221221,2022-12-21,2022,4,12,December,21,51,3,Wednesday,false,2022-12,2022-T4,2022-12-01,2022-12-19
20221222,2022-12-22,2022,4,12,December,22,51,4,Thursday,false,2022-12,2022-T4,2022-12-01,2022-12-19
20221223,2022-12-23,2022,4,12,December,23,51,5,Friday,false,2022-12,2022-T4,2022-12-01,2022-12-19
20221224,2022-12-24,2022,4,12,December,24,51,6,Saturday,true,2022-12,2022-T4,2022-12-01,2022-12-19
20221225,2022-12-25,2022,4,12,December,25,51,7,Sunday,true,2022-12,2022-T4,2022-12-01,2022-12-19
20221226,2022-12-26,2022,4,12,December,26,52,1,Monday,false,2022-12,2022-T4,2022-12-01,2022-12-26
20221227,2022-12-27,2022,4,12,December,27,52,2,Tuesday,false,2022-12,2022-T4,2022-12-01,2022-12-26
20221228,2022-12-28,2022,4,12,December,28,52,3,Wednesday,false,2022-12,2022-T4,2022-12-01,2022-12-26
20221229,2022-12-29,2022,4,12,December,29,52,4,Thursday,false,2022-12,2022-T4,2022-12-01,2022-12-26
20221230,2022-12-30,2022,4,12,December,30,52,5,Friday,false,2022-12,2022-T4,2022-12-01,2022-12-26
20221231,2022-12-31,2022,4,12,December,31,52,6,Saturday,true,2022-12,2022-T4,2022-12-01,2022-12-26
20230101,2023-01-01,2023,1,1,January,1,52,7,Sunday,true,2023-01,2023-T1,2023-01-01,2022-12-26
20230102,2023-01-02,2023,1,1,January,2,1,1,Monday,false,2023-01,2023-T1,2023-01-01,2023-01-02
20230103,2023-01-03,2023,1,1,January,3,1,2,Tuesday,false,2023-01,2023-T1,2023-01-01,2023-01-02
20230104,2023-01-04,2023,1,1,January,4,1,3,Wednesday,false,2023-01,2023-T1,2023-01-01,2023-01-02
20230105,2023-01-05,2023,1,1,January,5,1,4,Thursday,false,2023-01,2023-T1,2023-01-01,2023-01-02
20230106,2023-01-06,2023,1,1,January,6,1,5,Friday,false,2023-01,2023-T1,2023-01-01,2023-01-02
20230107,2023-01-07,2023,1,1,January,7,1,6,Saturday,true,2023-01,2023-T1,2023-01-01,2023-01-02
20230108,2023-01-08,2023,1,1,January,8,1,7,Sunday,true,2023-01,2023-T1,2023-01-01,2023-01-02
20230109,2023-01-09,2023,1,1,January,9,2,1,Monday,false,2023-01,2023-T1,2023-01-01,2023-01-09
20230110,2023-01-10,2023,1,1,January,10,2,2,Tuesday,false,2023-01,2023-T1,2023-01-01,2023-01-09
20230111,2023-01-11,2023,1,1,January,11,2,3,Wednesday,false,2023-01,2023-T1,2023-01-01,2023-01-09
20230112,2023-01-12,2023,1,1,January,12,2,4,Thursday,false,2023-01,2023-T1,2023-01-01,2023-01-09
20230113,2023-01-13,2023,1,1,January,13,2,5,Friday,false,2023-01,2023-T1,2023-01-01,2023-01-09
20230114,2023-01-14,2023,1,1,January,14,2,6,Saturday,true,2023-01,2023-T1,2023-01-01,2023-01-09
20230115,2023-01-15,2023,1,1,January,15,2,7,Sunday,true,2023-01,2023-T1,2023-01-01,2023-01-09
20230116,2023-01-16,2023,1,1,January,16,3,1,Monday,false,2023-01,2023-T1,2023-01-01,2023-01-16
20230117,2023-01-17,2023,1,1,January,17,3,2,Tuesday,false,2023-01,2023-T1,2023-01-01,2023-01-16
20230118,2023-01-18,2023,1,1,January,18,3,3,Wednesday,false,2023-01,2023-T1,2023-01-01,2023-01-16
20230119,2023-01-19,2023,1,1,January,19,3,4,Thursday,false,2023-01,2023-T1,2023-01-01,2023-01-16
20230120,2023-01-20,2023,1,1,January,20,3,5,Friday,false,2023-01,2023-T1,2023-01-01,2023-01-16
20230121,2023-01-21,2023,1,1,January,21,3,6,Saturday,true,2023-01,2023-T1,2023-01-01,2023-01-16
20230122,2023-01-22,2023,1,1,January,22,3,7,Sunday,true,2023-01,2023-T1,2023-01-01,2023-01-16
20230123,2023-01-23,2023,1,1,January,23,4,1,Monday,false,2023-01,2023-T1,2023-01-01,2023-01-23
20230124,2023-01-24,2023,1,1,January,24,4,2,Tuesday,false,2023-01,2023-T1,2023-01-01,2023-01-23
20230125,2023-01-25,2023,1,1,January,25,4,3,Wednesday,false,2023-01,2023-T1,2023-01-01,2023-01-23
20230126,2023-01-26,2023,1,1,January,26,4,4,Thursday,false,2023-01,2023-T1,2023-01-01,2023-01-23
20230127,2023-01-27,2023,1,1,January,27,4,5,Friday,false,2023-01,2023-T1,2023-01-01,2023-01-23
20230128,2023-01-28,2023,1,1,January,28,4,6,Saturday,true,2023-01,2023-T1,2023-01-01,2023-01-23
20230129,2023-01-29,2023,1,1,January,29,4,7,Sunday,true,2023-01,2023-T1,2023-01-01,2023-01-23
20230130,2023-01-30,2023,1,1,January,30,5,1,Monday,false,2023-01,2023-T1,2023-01-01,2023-01-30
20230131,2023-01-31,2023,1,1,January,31,5,2,Tuesday,false,2023-01,2023-T1,2023-01-01,2023-01-30
20230201,2023-02-01,2023,1,2,February,1,5,3,Wednesday,false,2023-02,2023-T1,2023-02-01,2023-01-30
20230202,2023-02-02,2023,1,2,February,2,5,4,Thursday,false,2023-02,2023-T1,2023-02-01,2023-01-30
20230203,2023-02-03,2023,1,2,February,3,5,5,Friday,false,2023-02,2023-T1,2023-02-01,2023-01-30
20230204,2023-02-04,2023,1,2,February,4,5,6,Saturday,true,2023-02,2023-T1,2023-02-01,2023-01-30
20230205,2023-02-05,2023,1,2,February,5,5,7,Sunday,true,2023-02,2023-T1,2023-02-01,2023-01-30
20230206,2023-02-06,2023,1,2,February,6,6,1,Monday,false,2023-02,2023-T1,2023-02-01,2023-02-06
20230207,2023-02-07,2023,1,2,February,7,6,2,Tuesday,false,2023-02,2023-T1,2023-02-01,2023-02-06
